,Amount,Date,Name,Merchant Name,Category
0,139.45,2024-01-01,John Doe,Walmart,Groceries
1,162.93,2024-01-01,John Doe,Fanduel,Entertainment
2,87.09,2024-01-02,John Doe,Draftkings,Entertainment
3,23.33,2024-01-02,John Doe,Olive Garden,Dining
4,192.32,2024-01-02,John Doe,Whole Foods,Groceries
5,38.0,2024-01-03,John Doe,Fanduel,Entertainment
6,70.26,2024-01-03,John Doe,Nike,Shopping
7,143.36,2024-01-04,John Doe,McDonald's,Dining
8,198.49,2024-01-04,John Doe,Comcast,Utilities
9,22.22,2024-01-04,John Doe,Draftkings,Entertainment
10,187.78,2024-01-05,John Doe,Discover,Debt
11,135.83,2024-01-05,John Doe,AT&T,Utilities
12,150.04,2024-01-06,John Doe,BP,Transportation
13,136.66,2024-01-06,John Doe,BP,Transportation
14,27.97,2024-01-06,John Doe,Nike,Shopping
15,157.32,2024-01-07,John Doe,Duke Energy,Utilities
16,147.29,2024-01-08,John Doe,Discover,Debt
17,51.86,2024-01-08,John Doe,McDonald's,Dining
18,61.97,2024-01-09,John Doe,PG&E,Utilities
19,158.14,2024-01-10,John Doe,BP,Transportation
20,127.44,2024-01-10,John Doe,Discover,Debt
21,171.47,2024-01-11,John Doe,Mastercard,Debt
22,125.26,2024-01-11,John Doe,Olive Garden,Dining
23,123.49,2024-01-11,John Doe,Nike,Shopping
24,124.33,2024-01-12,John Doe,Starbucks,Dining
25,29.75,2024-01-12,John Doe,Discover,Debt
26,38.55,2024-01-13,John Doe,Safeway,Groceries
27,123.44,2024-01-13,John Doe,Chipotle,Dining
28,93.9,2024-01-14,John Doe,Mastercard,Debt
29,23.02,2024-01-14,John Doe,Olive Garden,Dining
30,10.4,2024-01-14,John Doe,ExxonMobil,Transportation
31,62.42,2024-01-15,John Doe,Draftkings,Entertainment
32,139.01,2024-01-16,John Doe,Best Buy,Shopping
33,161.17,2024-01-17,John Doe,Uber,Transportation
34,93.32,2024-01-17,John Doe,Mastercard,Debt
35,159.02,2024-01-17,John Doe,Walmart,Groceries
36,144.11,2024-01-18,John Doe,Subway,Dining
37,44.31,2024-01-19,John Doe,Best Buy,Shopping
38,88.21,2024-01-19,John Doe,Apple Store,Shopping
39,162.84,2024-01-19,John Doe,AT&T,Utilities
40,77.79,2024-01-20,John Doe,Discover,Debt
41,193.68,2024-01-20,John Doe,Amazon,Shopping
42,114.41,2024-01-21,John Doe,McDonald's,Dining
43,80.06,2024-01-22,John Doe,Car,Debt
44,148.27,2024-01-22,John Doe,BET365,Entertainment
45,73.25,2024-01-22,John Doe,Car,Debt
46,135.8,2024-01-23,John Doe,Apple Store,Shopping
47,22.42,2024-01-24,John Doe,Discover,Debt
48,183.97,2024-01-24,John Doe,Fanduel,Entertainment
49,177.59,2024-01-25,John Doe,Duke Energy,Utilities
50,40.39,2024-01-25,John Doe,Comcast,Utilities
