,Amount,Date,Name,Merchant Name,Category
0,139.45,1/1/2024,John Doe,Walmart,Groceries
1,162.93,1/1/2024,John Doe,Fanduel,Entertainment
2,87.09,1/2/2024,John Doe,Draftkings,Entertainment
3,23.33,1/2/2024,John Doe,Olive Garden,Dining
4,192.32,1/2/2024,John Doe,Whole Foods,Groceries
5,38,1/3/2024,John Doe,Fanduel,Entertainment
6,70.26,1/3/2024,John Doe,Nike,Shopping
7,143.36,1/4/2024,John Doe,McDonald's,Dining
8,198.49,1/4/2024,John Doe,Comcast,Utilities
9,22.22,1/4/2024,John Doe,Draftkings,Entertainment
10,187.78,1/5/2024,John Doe,Discover,Debt
11,135.83,1/5/2024,John Doe,AT&T,Utilities
12,150.04,1/6/2024,John Doe,BP,Transportation
13,136.66,1/6/2024,John Doe,BP,Transportation
14,27.97,1/6/2024,John Doe,Nike,Shopping
15,157.32,1/7/2024,John Doe,Duke Energy,Utilities
16,147.29,1/8/2024,John Doe,Discover,Debt
17,51.86,1/8/2024,John Doe,McDonald's,Dining
18,61.97,1/9/2024,John Doe,PG&E,Utilities
19,158.14,1/10/2024,John Doe,BP,Transportation
20,127.44,1/10/2024,John Doe,Discover,Debt
21,171.47,1/11/2024,John Doe,Mastercard,Debt
22,125.26,1/11/2024,John Doe,Olive Garden,Dining
23,123.49,1/11/2024,John Doe,Nike,Shopping
24,124.33,1/12/2024,John Doe,Starbucks,Dining
25,29.75,1/12/2024,John Doe,Discover,Debt
26,38.55,1/13/2024,John Doe,Safeway,Groceries
27,123.44,1/13/2024,John Doe,Chipotle,Dining
28,93.9,1/14/2024,John Doe,Mastercard,Debt
29,23.02,1/14/2024,John Doe,Olive Garden,Dining
30,10.4,1/14/2024,John Doe,ExxonMobil,Transportation
31,62.42,1/15/2024,John Doe,Draftkings,Entertainment
32,139.01,1/16/2024,John Doe,Best Buy,Shopping
33,161.17,1/17/2024,John Doe,Uber,Transportation
34,93.32,1/17/2024,John Doe,Mastercard,Debt
35,159.02,1/17/2024,John Doe,Walmart,Groceries
36,144.11,1/18/2024,John Doe,Subway,Dining
37,44.31,1/19/2024,John Doe,Best Buy,Shopping
38,88.21,1/19/2024,John Doe,Apple Store,Shopping
39,162.84,1/19/2024,John Doe,AT&T,Utilities
40,77.79,1/20/2024,John Doe,Discover,Debt
41,193.68,1/20/2024,John Doe,Amazon,Shopping
42,114.41,1/21/2024,John Doe,McDonald's,Dining
43,80.06,1/22/2024,John Doe,Car,Debt
44,148.27,1/22/2024,John Doe,BET365,Entertainment
45,73.25,1/22/2024,John Doe,Car,Debt
46,135.8,1/23/2024,John Doe,Apple Store,Shopping
47,22.42,1/24/2024,John Doe,Discover,Debt
48,183.97,1/24/2024,John Doe,Fanduel,Entertainment
49,177.59,1/25/2024,John Doe,Duke Energy,Utilities
50,40.39,1/25/2024,John Doe,Comcast,Utilities
51,116.72,1/26/2024,John Doe,ExxonMobil,Transportation
52,192.04,1/26/2024,John Doe,Verizon,Utilities
53,154.32,1/27/2024,John Doe,Safeway,Groceries
54,66.49,1/28/2024,John Doe,AT&T,Utilities
55,127.27,1/28/2024,John Doe,Whole Foods,Groceries
56,181.62,1/28/2024,John Doe,ExxonMobil,Transportation
57,142.48,1/29/2024,John Doe,Verizon,Utilities
58,143.22,1/29/2024,John Doe,Whole Foods,Groceries
59,168.11,1/30/2024,John Doe,Starbucks,Dining
60,114.78,1/31/2024,John Doe,Verizon,Utilities
61,100.92,1/1/2025,John Doe,Fanduel,Entertainment
62,180.17,1/1/2025,John Doe,Trader Joe's,Groceries
63,80.28,1/1/2025,John Doe,Walmart,Groceries
64,185.2,1/2/2025,John Doe,BP,Transportation
65,103.54,1/2/2025,John Doe,Duke Energy,Utilities
66,183.88,1/3/2025,John Doe,Fanduel,Entertainment
67,195.14,1/4/2025,John Doe,ExxonMobil,Transportation
68,75.76,1/5/2025,John Doe,BP,Transportation
69,33.48,1/5/2025,John Doe,Trader Joe's,Groceries
70,120.94,1/6/2025,John Doe,Subway,Dining
71,98.3,1/7/2025,John Doe,Amazon,Shopping
72,162.74,1/7/2025,John Doe,Walmart,Groceries
73,90.47,1/8/2025,John Doe,Chipotle,Dining
74,178.95,1/9/2025,John Doe,Walmart,Groceries
75,102.15,1/10/2025,John Doe,BP,Transportation
76,108.49,1/11/2025,John Doe,Best Buy,Shopping
77,191.23,1/11/2025,John Doe,Comcast,Utilities
78,19.42,1/11/2025,John Doe,Trader Joe's,Groceries
79,152.25,1/12/2025,John Doe,Lyft,Transportation
80,195.1,1/13/2025,John Doe,Olive Garden,Dining
81,189.78,1/14/2025,John Doe,Comcast,Utilities
82,139.45,1/14/2025,John Doe,Fanduel,Entertainment
83,182.17,1/14/2025,John Doe,Olive Garden,Dining
84,182.43,1/15/2025,John Doe,Apple Store,Shopping
85,6.69,1/16/2025,John Doe,Car,Debt
86,34.15,1/16/2025,John Doe,BP,Transportation
87,49.19,1/16/2025,John Doe,Discover,Debt
88,54.11,1/17/2025,John Doe,Kroger,Groceries
89,29.75,1/18/2025,John Doe,Olive Garden,Dining
90,177.54,1/19/2025,John Doe,Comcast,Utilities
91,102.81,1/19/2025,John Doe,Uber,Transportation
92,22.47,1/20/2025,John Doe,Amazon,Shopping
93,52.88,1/20/2025,John Doe,Nike,Shopping
94,54.04,1/21/2025,John Doe,Uber,Transportation
95,49,1/21/2025,John Doe,AT&T,Utilities
96,106.17,1/21/2025,John Doe,ExxonMobil,Transportation
97,92.04,1/22/2025,John Doe,Car,Debt
98,41.03,1/22/2025,John Doe,Trader Joe's,Groceries
99,43.39,1/22/2025,John Doe,Amazon,Shopping
100,159.53,1/23/2025,John Doe,Verizon,Utilities
101,50.92,1/23/2025,John Doe,Mastercard,Debt
102,47.83,1/23/2025,John Doe,Target,Shopping
103,151.44,1/24/2025,John Doe,Kroger,Groceries
104,106.04,1/24/2025,John Doe,BET365,Entertainment
105,197.43,1/24/2025,John Doe,McDonald's,Dining
106,164.9,1/25/2025,John Doe,Subway,Dining
107,197.73,1/26/2025,John Doe,Verizon,Utilities
108,32.64,1/27/2025,John Doe,BET365,Entertainment
109,35.13,1/27/2025,John Doe,Car,Debt
110,154.71,1/27/2025,John Doe,Amazon,Shopping
111,71.29,1/28/2025,John Doe,Lyft,Transportation
112,27.03,1/28/2025,John Doe,Car,Debt
113,61.07,1/28/2025,John Doe,Verizon,Utilities
114,170.17,1/29/2025,John Doe,Fanduel,Entertainment
115,126.13,1/29/2025,John Doe,Olive Garden,Dining
116,69.54,1/29/2025,John Doe,Safeway,Groceries
117,21.31,1/30/2025,John Doe,Kroger,Groceries
118,103.4,1/31/2025,John Doe,Mastercard,Debt
119,103.8,2/1/2025,John Doe,Comcast,Utilities
120,163.45,2/1/2025,John Doe,Comcast,Utilities
121,149.68,2/1/2025,John Doe,Whole Foods,Groceries
122,84.94,2/2/2025,John Doe,Verizon,Utilities
123,27.23,2/3/2025,John Doe,Lyft,Transportation
124,106.01,2/3/2025,John Doe,BP,Transportation
125,143.63,2/3/2025,John Doe,Car,Debt
126,5.91,2/4/2025,John Doe,Trader Joe's,Groceries
127,151.83,2/4/2025,John Doe,Amazon,Shopping
128,195.29,2/5/2025,John Doe,Comcast,Utilities
129,193.72,2/5/2025,John Doe,Kroger,Groceries
130,178.01,2/5/2025,John Doe,Draftkings,Entertainment
131,127.92,2/6/2025,John Doe,Nike,Shopping
132,174.77,2/6/2025,John Doe,Car,Debt
133,161.97,2/7/2025,John Doe,Chipotle,Dining
134,119.96,2/7/2025,John Doe,BP,Transportation
135,23.88,2/8/2025,John Doe,Mastercard,Debt
136,71.29,2/8/2025,John Doe,Nike,Shopping
137,71.5,2/9/2025,John Doe,BET365,Entertainment
138,16.93,2/9/2025,John Doe,Chipotle,Dining
139,188.99,2/9/2025,John Doe,Chipotle,Dining
140,12.05,2/10/2025,John Doe,Shell,Transportation
141,20.49,2/11/2025,John Doe,AT&T,Utilities
142,102.72,2/12/2025,John Doe,Fanduel,Entertainment
143,17.34,2/12/2025,John Doe,ExxonMobil,Transportation
144,199.83,2/12/2025,John Doe,Discover,Debt
145,185.96,2/13/2025,John Doe,Chipotle,Dining
146,59.8,2/14/2025,John Doe,Uber,Transportation
147,86.58,2/14/2025,John Doe,Safeway,Groceries
148,94.33,2/15/2025,John Doe,Trader Joe's,Groceries
149,94.98,2/15/2025,John Doe,Verizon,Utilities
150,55.99,2/16/2025,John Doe,AT&T,Utilities
151,108.66,2/16/2025,John Doe,Target,Shopping
152,110.14,2/17/2025,John Doe,Olive Garden,Dining
153,126.82,2/17/2025,John Doe,BET365,Entertainment
154,135.73,2/18/2025,John Doe,Discover,Debt
155,21.51,2/18/2025,John Doe,Amazon,Shopping
156,68.8,2/19/2025,John Doe,Chipotle,Dining
157,66.86,2/19/2025,John Doe,Duke Energy,Utilities
158,34.3,2/20/2025,John Doe,Walmart,Groceries
159,75.78,2/20/2025,John Doe,Walmart,Groceries
160,53.94,2/20/2025,John Doe,Discover,Debt
161,145.43,2/21/2025,John Doe,Safeway,Groceries
162,164.76,2/22/2025,John Doe,Safeway,Groceries
163,90.03,2/23/2025,John Doe,Mastercard,Debt
164,102.52,2/23/2025,John Doe,Fanduel,Entertainment
165,41.61,2/23/2025,John Doe,Fanduel,Entertainment
166,34.53,2/24/2025,John Doe,Chipotle,Dining
167,107.78,2/24/2025,John Doe,Amazon,Shopping
168,118.09,2/25/2025,John Doe,Draftkings,Entertainment
169,78.5,2/25/2025,John Doe,Walmart,Groceries
170,151.7,2/26/2025,John Doe,Duke Energy,Utilities
171,98.16,2/27/2025,John Doe,Draftkings,Entertainment
172,36.08,2/28/2025,John Doe,AT&T,Utilities
